Name;CC;GDPpc;Gini;WHR;annotation
Peru;PER; 11.879,2 ;41,5;5,84;
Philippines;PHL; 8.390,4 ;42,3;5,88;
Poland;POL; 34.264,8 ;30,2;6,17;
Portugal;PRT; 34.495,9 ;33,5;5,93;
Romania;ROU; 31.945,7 ;35,8;6,14;
Russian Federation;RUS; 28.213,4 ;37,5;5,48;
Rwanda;RWA; 2.214,0 ;43,7;3,42;
Samoa;WSM; 6.777,8 ;38,7;;
Sao Tome and Principe;STP; 4.274,1 ;56,3;;
Senegal;SEN; 3.481,3 ;40,3;5,13;
Serbia;SRB; 19.230,6 ;36,2;6,08;
Seychelles;SYC; 25.699,7 ;32,1;;
Sierra Leone;SLE; 1.738,6 ;35,7;3,85;
Slovak Republic;SVK; 31.832,4 ;25;6,33;
Slovenia;SVN; 39.593,3 ;24,6;6,46;
Solomon Islands;SLB; 2.619,2 ;37,1;;
South Africa;ZAF; 12.095,9 ;63;4,96;
South Sudan;SSD; 1.234,7 ;44,1;;
Spain;ESP; 38.334,6 ;34,7;6,49;
Sri Lanka;LKA; 13.225,4 ;39,3;4,33;
St. Lucia;LCA; 12.943,8 ;51,2;;
Sudan;SDN; 4.243,8 ;34,2;;
Suriname;SUR; 17.016,0 ;57,9;;
Sweden;SWE; 54.563,1 ;30;7,36;
Switzerland;CHE; 71.352,4 ;33,1;7,57;
Tajikistan;TJK; 3.858,4 ;34;5,47;
Tanzania;TZA; 2.780,1 ;40,5;3,62;
Thailand;THA; 18.236,2 ;34,9;5,99;
Timor-Leste;TLS; 3.355,8 ;28,7;;
Togo;TGO; 2.223,6 ;43,1;4,11;
Tonga;TON; 6.647,9 ;37,6;;
Trinidad and Tobago;TTO; 25.031,2 ;40,3;6,19;
Tunisia;TUN; 10.261,7 ;32,8;4,6;
Turquia;TUR; 28.119,5 ;41,9;4,95;1
Turkmenistan;TKM; 16.195,5 ;40,8;5,07;
Tuvalu;TUV; 4.653,2 ;39,1;;
Uganda;UGA; 2.297,2 ;42,8;4,64;
Ukraine;UKR; 13.056,7 ;26,6;4,88;
United Arab Emirates;ARE; 69.957,6 ;26;6,56;
United Kingdom;GBR; 44.916,2 ;35,1;7,06;
Estados Unidos;USA; 63.543,6 ;41,4;6,95;1
Uruguay;URY; 22.795,1 ;39,7;6,43;
Uzbekistan;UZB; 7.378,3 ;35,3;6,18;
Vanuatu;VUT; 2.914,5 ;37,6;;
Venezuela, RB;VEN; 17.527,7 ;44,8;4,89;
Vietnam;VNM; 8.650,7 ;35,7;5,41;
West Bank and Gaza;PSE; 5.690,3 ;33,7;;
Yemen, Rep.;YEM; 3.688,5 ;36,7;3,66;
Zambia;ZMB; 3.449,6 ;57,1;4,07;
Zimbabue;ZWE; 2.895,4 ;50,3;3,15;1
